Sep 2, 2010,Uniques 59,018
Sep 3, 2010,Uniques 48,124
Sep 4, 2010,Uniques 31,231
Sep 5, 2010,Uniques 29,646
Sep 6, 2010,Uniques 36,060
Sep 8, 2010,Uniques 48,290
Sep 9, 2010,Uniques 46,511
Sep 10, 2010,Uniques 41,961
Sep 11, 2010,Uniques 32,017
Sep 12, 2010,Uniques 38,785
Sep 13, 2010,Uniques 45,525
Sep 14, 2010,Uniques 56,213
Sep 15, 2010,Uniques 56,460
Sep 16, 2010,Uniques 51,180
Sep 17, 2010,Uniques 49,493
Sep 18, 2010,Uniques 34,353
Sep 19, 2010,Uniques 34,276
Sep 20, 2010,Uniques 44,121
Sep 21, 2010,Uniques 42,372
Sep 23, 2010,Uniques 44,303
Sep 24, 2010,Uniques 41,073
Sep 25, 2010,Uniques 28,189
Sep 26, 2010,Uniques 55,645
Sep 27, 2010,Uniques 108,943
Sep 28, 2010,Uniques 60,996
Sep 29, 2010,Uniques 62,544
Sep 30, 2010,Uniques 56,424
Oct 1, 2010,Uniques 46,140
Oct 2, 2010,Uniques 33,090
Oct 3, 2010,Uniques 33,799
Oct 4, 2010,Uniques 62,296
Oct 5, 2010,Uniques 71,282
Oct 6, 2010,Uniques 63,498
Oct 8, 2010,Uniques 48,467
Oct 9, 2010,Uniques 37,178
Oct 10, 2010,Uniques 35,938
Oct 11, 2010,Uniques 55,310
Oct 12, 2010,Uniques 53,355
Oct 13, 2010,Uniques 57,919
Oct 14, 2010,Uniques 57,958
Oct 15, 2010,Uniques 42,374
Oct 16, 2010,Uniques 33,735
Oct 17, 2010,Uniques 35,441
Oct 18, 2010,Uniques 47,977
Oct 19, 2010,Uniques 52,590
Oct 20, 2010,Uniques 52,557
Oct 21, 2010,Uniques 48,230
Oct 23, 2010,Uniques 31,578
Oct 24, 2010,Uniques 36,616
Oct 25, 2010,Uniques 55,377
Oct 26, 2010,Uniques 52,391
Oct 27, 2010,Uniques 47,903
Oct 28, 2010,Uniques 47,534
Oct 29, 2010,Uniques 45,668
Oct 30, 2010,Uniques 34,269
Oct 31, 2010,Uniques 36,597
Nov 1, 2010,Uniques 46,323
Nov 2, 2010,Uniques 57,454
Nov 3, 2010,Uniques 55,129
Nov 4, 2010,Uniques 53,184
Nov 6, 2010,Uniques 36,734
Nov 7, 2010,Uniques 39,630
Nov 8, 2010,Uniques 54,376
Nov 9, 2010,Uniques 54,279
Nov 10, 2010,Uniques 53,899
Nov 11, 2010,Uniques 53,694
Nov 12, 2010,Uniques 48,966
Nov 13, 2010,Uniques 36,057
Nov 14, 2010,Uniques 39,984
Nov 15, 2010,Uniques 59,752
Nov 16, 2010,Uniques 55,404
Nov 17, 2010,Uniques 83,479
Nov 18, 2010,Uniques 99,641
Nov 19, 2010,Uniques 71,858
Nov 21, 2010,Uniques 53,541
Nov 22, 2010,Uniques 76,887
Nov 23, 2010,Uniques 82,437
Nov 24, 2010,Uniques 53,836
Nov 25, 2010,Uniques 57,650
Nov 26, 2010,Uniques 59,983
Nov 27, 2010,Uniques 46,591
Nov 28, 2010,Uniques 39,751
Nov 29, 2010,Uniques 69,525
Nov 30, 2010,Uniques 84,719
Dec 1, 2010,Uniques 80,236
Dec 2, 2010,Uniques 73,287
Dec 3, 2010,Uniques 76,205
Dec 4, 2010,Uniques 50,733
Dec 6, 2010,Uniques 71,004
Dec 7, 2010,Uniques 77,518
Dec 8, 2010,Uniques 82,944
Dec 9, 2010,Uniques 76,445
Dec 10, 2010,Uniques 80,688
Dec 11, 2010,Uniques 54,937
Dec 12, 2010,Uniques 50,746
Dec 13, 2010,Uniques 76,800
Dec 14, 2010,Uniques 69,025
Dec 15, 2010,Uniques 83,062
Dec 16, 2010,Uniques 80,693
Dec 17, 2010,Uniques 88,552
Dec 18, 2010,Uniques 53,845
Dec 19, 2010,Uniques 53,680
Dec 21, 2010,Uniques 62,644
